Nama,ID,Teori Bilangan,Aljabar Linear ,Aplikasi Aljabar Linear ,Pengantar Desain Eksperimen ,Perangkat Lunak Matematika ,Praktikum Perangkat Lunak Matematika ,Matematika Ekonomi dan Bisnis ,Persamaan Beda Hingga ,Matematika Keuangan 1 ,Teori Grup Fuzzy ,Teori Grup Hingga ,Pengantar Teori Graf ,Kombinatorika ,Sistem Basis Data ,Praktikum Sistem Basis Data ,Pengantar Biologi ,Pengantar Fisika ,Pengantar Kimia ,Pengantar Fungsi Univalen ,Matriks Atas Ring ,Pengantar Teori Modul ,Fungsi Khusus ,Pengantar Sistem Dinamik Kontinu ,Matematika Keuangan 2 ,Pengantar Metode Peramalan ,Pengantar Regresi Linear ,Matematika Asuransi 1 ,Riset Operasi 2 ,Teori Permainan ,Pengantar Data Mining ,Pengantar Komputasi Cerdas ,Praktikum Pengantar Komputasi Cerdas ,Pengantar Analisis Fungsional ,Teori Ukuran ,Pengantar Geometri Diferensial ,Teori Pengkodean ,Kalkulus Variasi ,Pengantar Pemodelan Gelombang ,Pengantar Diferensial Numerik ,Praktikum Pengantar Pengantar Diferensial Numerik ,Pengantar Dinamika Populasi ,Pengantar Sistem Dinamik Diskret ,Pengantar Pemodelan Stokastik ,Pengantar Analisis Reliabilitas ,Optimasi Numerik ,Praktikum Optimasi Numerik ,Matematika Asuransi 2 ,Pengantar Pengolahan Citra Digital ,Praktikum Pengantar Pengolahan Citra Digital ,Pengantar Topologi ,Pengantar Geometri Fraktal ,Pengantar Fungsi Kontrol Optimal ,Pengantar Metode Elemen Hingga ,Praktikum Pengantar Metode Elemen Hingga ,Pengantar Optimasi Heuristik ,Model Risiko Asuransi ,Waktu,Waktu dalam jam
Responden73,C13,0,4,0,0,4,5,0,5,0,0,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,± 20 menit,0.3
Responden74,C14,3,3,3,3,5,5,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,7 menit,0.116667
Responden75,C15,0,0,0,0,5,5,0,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2 mnt,24
Responden76,C16,3,3,3,3,5,5,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,5,3,3,1,1,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,1 jam,1
Responden77,C17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1 minggu,168
Responden78,C18,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,4 menit,0.0666667
Responden79,C19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mendadak karna matkul peminatan yang di pengen udaa full,0.0833333
Responden80,C20,0,3,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 menit ,0.0833333
Responden81,C21,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,60 menit,1
Responden82,C22,3,5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,4,2,3,3,3,3,1,3,5 menit,0.0833333
Responden83,C23,0,4,0,0,0,0,5,0,4,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5 menit,0.0833333
Responden84,C24,0,3,0,0,0,0,0,0,0,0,4,0,3,4,4,4,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 menit,0.0166667
Responden85,C25,2,4,4,2,4,4,5,4,5,3,3,3,3,5,5,2,2,2,2,1,2,2,2,5,4,4,3,5,5,5,4,3,3,2,2,2,1,1,2,1,1,1,2,2,1,1,5,1,1,1,1,2,1,1,1,1,5 jam,5
Responden86,C26,0,3,0,0,5,5,0,0,0,0,5,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 detik,0.00138889
Responden87,C27,3,4,3,0,0,0,4,5,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 menit,0.0666667
Responden88,C28,0,5,0,0,5,5,5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 menit,0.0833333
Responden89,C29,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59 menit,24
Responden90,C30,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 bulan,720
Responden91,C31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2 mnt,0.0333333
